# nhpx, l , b
0, 176.9511, -48.8962
1, 176.9525, -48.8818
2, 176.9293, -48.8976
3, 176.9306, -48.8832
4, 176.9538, -48.8674
5, 176.9552, -48.8530
6, 176.9320, -48.8689
7, 176.9334, -48.8545
8, 176.9075, -48.8991
9, 176.9088, -48.8847
10, 176.8856, -48.9005
11, 176.8870, -48.8861
12, 176.9102, -48.8703
13, 176.9116, -48.8559
14, 176.8884, -48.8717
15, 176.8898, -48.8573
16, 176.9566, -48.8386
17, 176.9580, -48.8243
18, 176.9348, -48.8401
19, 176.9362, -48.8257
20, 176.9593, -48.8099
21, 176.9607, -48.7955
22, 176.9376, -48.8113
23, 176.9389, -48.7969
24, 176.9130, -48.8415
25, 176.9144, -48.8271
26, 176.8912, -48.8430
27, 176.8926, -48.8286
28, 176.9158, -48.8128
29, 176.9172, -48.7984
30, 176.8940, -48.8142
31, 176.8954, -48.7998
32, 176.8638, -48.9019
33, 176.8652, -48.8875
34, 176.8420, -48.9033
35, 176.8434, -48.8890
36, 176.8666, -48.8731
37, 176.8680, -48.8588
38, 176.8448, -48.8746
39, 176.8462, -48.8602
40, 176.8202, -48.9048
41, 176.8216, -48.8904
42, 176.7984, -48.9062
43, 176.7998, -48.8918
44, 176.8230, -48.8760
45, 176.8244, -48.8616
46, 176.8012, -48.8774
47, 176.8026, -48.8630
48, 176.8694, -48.8444
49, 176.8708, -48.8300
50, 176.8476, -48.8458
51, 176.8490, -48.8314
52, 176.8722, -48.8156
53, 176.8736, -48.8012
54, 176.8505, -48.8171
55, 176.8519, -48.8027
56, 176.8259, -48.8472
57, 176.8273, -48.8329
58, 176.8041, -48.8487
59, 176.8055, -48.8343
60, 176.8287, -48.8185
61, 176.8301, -48.8041
62, 176.8069, -48.8199
63, 176.8083, -48.8055
64, 176.9621, -48.7811
65, 176.9634, -48.7667
66, 176.9403, -48.7826
67, 176.9417, -48.7682
68, 176.9648, -48.7524
69, 176.9662, -48.7380
70, 176.9431, -48.7538
71, 176.9444, -48.7394
72, 176.9186, -48.7840
73, 176.9199, -48.7696
74, 176.8968, -48.7854
75, 176.8982, -48.7711
76, 176.9213, -48.7552
77, 176.9227, -48.7409
78, 176.8996, -48.7567
79, 176.9010, -48.7423
80, 176.9676, -48.7236
81, 176.9689, -48.7092
82, 176.9458, -48.7250
83, 176.9472, -48.7107
84, 176.9703, -48.6948
85, 176.9717, -48.6804
86, 176.9486, -48.6963
87, 176.9499, -48.6819
88, 176.9241, -48.7265
89, 176.9255, -48.7121
90, 176.9023, -48.7279
91, 176.9037, -48.7135
92, 176.9268, -48.6977
93, 176.9282, -48.6833
94, 176.9051, -48.6991
95, 176.9065, -48.6848
96, 176.8750, -48.7869
97, 176.8764, -48.7725
98, 176.8533, -48.7883
99, 176.8547, -48.7739
100, 176.8778, -48.7581
101, 176.8792, -48.7437
102, 176.8561, -48.7595
103, 176.8575, -48.7451
104, 176.8315, -48.7897
105, 176.8329, -48.7753
106, 176.8097, -48.7911
107, 176.8111, -48.7767
108, 176.8343, -48.7610
109, 176.8357, -48.7466
110, 176.8126, -48.7624
111, 176.8140, -48.7480
112, 176.8806, -48.7293
113, 176.8820, -48.7150
114, 176.8589, -48.7308
115, 176.8603, -48.7164
116, 176.8834, -48.7006
117, 176.8848, -48.6862
118, 176.8617, -48.7020
119, 176.8631, -48.6876
120, 176.8371, -48.7322
121, 176.8385, -48.7178
122, 176.8154, -48.7336
123, 176.8168, -48.7192
124, 176.8399, -48.7034
125, 176.8413, -48.6890
126, 176.8182, -48.7048
127, 176.8196, -48.6905
128, 176.7766, -48.9076
129, 176.7780, -48.8932
130, 176.7547, -48.9090
131, 176.7562, -48.8946
132, 176.7794, -48.8788
133, 176.7808, -48.8644
134, 176.7576, -48.8802
135, 176.7590, -48.8659
136, 176.7329, -48.9104
137, 176.7344, -48.8960
138, 176.7111, -48.9118
139, 176.7125, -48.8974
140, 176.7358, -48.8816
141, 176.7372, -48.8673
142, 176.7140, -48.8830
143, 176.7154, -48.8687
144, 176.7823, -48.8501
145, 176.7837, -48.8357
146, 176.7605, -48.8515
147, 176.7619, -48.8371
148, 176.7851, -48.8213
149, 176.7865, -48.8069
150, 176.7633, -48.8227
151, 176.7648, -48.8083
152, 176.7387, -48.8529
153, 176.7401, -48.8385
154, 176.7169, -48.8543
155, 176.7183, -48.8399
156, 176.7415, -48.8241
157, 176.7430, -48.8097
158, 176.7198, -48.8255
159, 176.7212, -48.8111
160, 176.6893, -48.9132
161, 176.6907, -48.8988
162, 176.6674, -48.9146
163, 176.6689, -48.9002
164, 176.6922, -48.8844
165, 176.6936, -48.8701
166, 176.6704, -48.8858
167, 176.6718, -48.8714
168, 176.6456, -48.9160
169, 176.6471, -48.9016
170, 176.6238, -48.9173
171, 176.6253, -48.9030
172, 176.6485, -48.8872
173, 176.6500, -48.8728
174, 176.6267, -48.8886
175, 176.6282, -48.8742
176, 176.6951, -48.8557
177, 176.6965, -48.8413
178, 176.6733, -48.8571
179, 176.6747, -48.8427
180, 176.6980, -48.8269
181, 176.6994, -48.8125
182, 176.6762, -48.8283
183, 176.6776, -48.8139
184, 176.6515, -48.8585
185, 176.6529, -48.8441
186, 176.6297, -48.8598
187, 176.6311, -48.8455
188, 176.6544, -48.8297
189, 176.6559, -48.8153
190, 176.6326, -48.8311
191, 176.6341, -48.8167
192, 176.7880, -48.7925
193, 176.7894, -48.7782
194, 176.7662, -48.7940
195, 176.7676, -48.7796
196, 176.7908, -48.7638
197, 176.7922, -48.7494
198, 176.7690, -48.7652
199, 176.7705, -48.7508
200, 176.7444, -48.7954
201, 176.7459, -48.7810
202, 176.7226, -48.7968
203, 176.7241, -48.7824
204, 176.7473, -48.7666
205, 176.7487, -48.7522
206, 176.7255, -48.7680
207, 176.7270, -48.7536
208, 176.7936, -48.7350
209, 176.7951, -48.7206
210, 176.7719, -48.7364
211, 176.7733, -48.7221
212, 176.7965, -48.7063
213, 176.7979, -48.6919
214, 176.7747, -48.7077
215, 176.7762, -48.6933
216, 176.7501, -48.7378
217, 176.7516, -48.7235
218, 176.7284, -48.7392
219, 176.7298, -48.7249
220, 176.7530, -48.7091
221, 176.7544, -48.6947
222, 176.7313, -48.7105
223, 176.7327, -48.6961
224, 176.7009, -48.7982
225, 176.7023, -48.7838
226, 176.6791, -48.7995
227, 176.6806, -48.7852
228, 176.7038, -48.7694
229, 176.7052, -48.7550
230, 176.6820, -48.7708
231, 176.6835, -48.7564
232, 176.6573, -48.8009
233, 176.6588, -48.7866
234, 176.6355, -48.8023
235, 176.6370, -48.7879
236, 176.6602, -48.7722
237, 176.6617, -48.7578
238, 176.6385, -48.7736
239, 176.6399, -48.7592
240, 176.7067, -48.7406
241, 176.7081, -48.7263
242, 176.6849, -48.7420
243, 176.6864, -48.7277
244, 176.7095, -48.7119
245, 176.7110, -48.6975
246, 176.6878, -48.7133
